word,phonemic_transcription,vowel_syllable_count
wellendorf,W EH L IH N D AO R F,3
intellicorp,IH N T EH L IH K AO R P,4
disinform,D IH S IH N F AO R M,3
hilgendorf,HH IH L G IH N D AO R F,3
isidore,IH Z IH D AO R,3
millipore,M IH L IH P AO R,3
misinform,M IH S IH N F AO R M,3
misinformed,M IH S IH N F AO R M D,3
misinforms,M IH S IH N F AO R M Z,3
misreport,M IH S R IH P AO R T,3
mittendorf,M IH T IH N D AO R F,3
shippingport,SH IH P IH NG P AO R T,3
willenborg,W IH L IH N B AO R G,3
halliciforn,HH AH L IH S IH F AO R N,4
pacificorp,P AH S IH F IH K AO R P,4
humidor,HH Y UW M IH D AO R,3
unicorn,Y UW N IH K AO R N,3
unicorp,Y UW N IH K AO R P,3
unicorp's,Y UW N IH K AO R P S,3
uniforce,Y UW N IH F AO R S,3
unisource,Y UW N IH S AO R S,3
allport,AO L P AO R T,2
alsdorf,AO L Z D AO R F,2
broadsword,B R AO D S AO R D,2
hawthorn,HH AO TH AO R N,2
hawthorne,HH AO TH AO R N,2
hawthorne's,HH AO TH AO R N Z,2
hawthorns,HH AO TH AO R N Z,2
longhorn,L AO NG HH AO R N,2
longhorns,L AO NG HH AO R N Z,2
longshore,L AO NG SH AO R,2
offshore,AO F SH AO R,2
offshored,AO F SH AO R D,2
osborn,AO Z B AO R N,2
osborne,AO Z B AO R N,2
osborne's,AO Z B AO R N Z,2
pronghorn,P R AO NG HH AO R N,2
waldhorn,W AO L D HH AO R N,2
waldorf,W AO L D AO R F,2
wallboard,W AO L B AO R D,2
spadafore,S P AA D AO F AO R,3
belcourt,B EH L K AO R T,2
bellcore,B EH L K AO R,2
bellcore's,B EH L K AO R Z,2
bellmore,B EH L M AO R,2
belmore,B EH L M AO R,2
delcor,D EH L K AO R,2
delmore,D EH L M AO R,2
elcor,EH L K AO R,2
elkhorn,EH L K HH AO R N,2
elmore,EH L M AO R,2
healthcorp,HH EH L TH K AO R P,2
healthcorp(1),HH EH L TH K AO R,2
healthsource,HH EH L TH S AO R S,2
melor,M EH L AO R,2
nellcor,N EH L K AO R,2
telsource,T EH L S AO R S,2
treloar,T R EH L AO R,2
velour,V EH L UW R,2
well-doer,W EH L D UW R,2
wellborn,W EH L B AO R N,2
phlcorp,P IY EY CH EH L K AO R P,4
lukewarm,L UW K W AO R M,2
mountford,M UW N T F AO R D,2
newborn,N UW B AO R N,2
newborns,N UW B AO R N Z,2
newcor,N UW K AO R,2
newport,N UW P AO R T,2
newport's,N UW P AO R T S,2
newscorp,N UW Z K AO R P,2
newscorp's,N UW Z K AO R P S,2
new_york,N UW Y AO R K,2
new_york's,N UW Y AO R K S,2
nucor,N UW K AO R,2
nucor's,N UW K AO R Z,2
nucorp,N UW K AO R P,2
rumore,R UW M AO R,2
shoehorn,SH UW HH AO R N,2
shoehorned,SH UW HH AO R N D,2
spoonemore,S P UW N M AO R,2
untoward,AH N T UW AO R D,3
insituform,IH N S IH T UW F AO R M,4
a,EY,1
a's,EY Z,1
abe,EY B,1
ace,EY S,1
aced,EY S T,1
ache,EY K,1
ached,EY K T,1
aches,EY K S,1
ade,EY D,1
ades,EY D Z,1
ae,EY,1
age,EY JH,1
aged,EY JH D,1
aid,EY D,1
aid's,EY D Z,1
aide,EY D,1
aide's,EY D Z,1
aides,EY D Z,1
aides',EY D Z,1
aids,EY D Z,1
aim,EY M,1
aim's,EY M Z,1
aime,EY M,1
aimed,EY M D,1
aims,EY M Z,1
ain't,EY N T,1
aine,EY N,1
ainge,EY NG,1
ainge(1),EY N JH,1
aist,EY S T,1
aithne,EY TH N,1
aix(1),EY K S,1
ake,EY K,1
ame,EY M,1
ames,EY M Z,1
ames',EY M Z,1
ane,EY N,1
ange,EY N JH,1
ape,EY P,1
apes,EY P S,1
ate,EY T,1
ates,EY T S,1
ay,EY,1
aydt,EY T,1
ayer's(1),EY R Z,1
ayn,EY N,1
aynes,EY N Z,1
ayr,EY R,1
aytes,EY T S,1
babe,B EY B,1
babes,B EY B Z,1
bache(1),B EY CH,1
bade,B EY D,1
bahe,B EY HH,1
baig,B EY G,1
baim,B EY M,1
bain,B EY N,1
bain's,B EY N Z,1
baine,B EY N,1
baines,B EY N Z,1
bains,B EY N Z,1
baise,B EY Z,1
bait,B EY T,1
baits,B EY T S,1
baize,B EY Z,1
bake,B EY K,1
baked,B EY K T,1
bakes,B EY K S,1
bame,B EY M,1
bane,B EY N,1
banes,B EY N Z,1
base,B EY S,1
based,B EY S T,1
bass(1),B EY S,1
baste,B EY S T,1
bate,B EY T,1
bates,B EY T S,1
bates',B EY T S,1
bathe,B EY DH,1
bathed,B EY DH D,1
bathes,B EY DH Z,1
bay,B EY,1
bay's,B EY Z,1
baye,B EY,1
bayed,B EY D,1
bayes,B EY Z,1
bayh,B EY,1
bayne,B EY N,1
baynes,B EY N Z,1
bays,B EY Z,1
bayse,B EY Z,1
baze,B EY Z,1
begue,B EY G,1
beige,B EY ZH,1
beit,B EY T,1
bey,B EY,1
blade,B L EY D,1
blades,B L EY D Z,1
blaese,B L EY Z,1
blaich,B L EY CH,1
blain,B L EY N,1
blaine,B L EY N,1
blaise,B L EY Z,1
blaize,B L EY Z,1
blake,B L EY K,1
blake's,B L EY K S,1
blakes,B L EY K S,1
blame,B L EY M,1
blamed,B L EY M D,1
blames,B L EY M Z,1
blane,B L EY N,1
blase,B L EY Z,1
blaske,B L EY S K,1
blay,B L EY,1
blaydes,B L EY D Z,1
blayne,B L EY N,1
blayze,B L EY Z,1
blaze,B L EY Z,1
blazed,B L EY Z D,1
bley,B L EY,1
boehm(1),B EY M,1
boehme(1),B EY M,1
brace,B R EY S,1
braced,B R EY S T,1
brae,B R EY,1
braer,B R EY R,1
braid,B R EY D,1
braids,B R EY D Z,1
brain,B R EY N,1
brain's,B R EY N Z,1
brained,B R EY N D,1
brains,B R EY N Z,1
braise,B R EY Z,1
braised,B R EY Z D,1
brake,B R EY K,1
braked,B R EY K T,1
brakes,B R EY K S,1
brame,B R EY M,1
brase,B R EY Z,1
brave,B R EY V,1
braved,B R EY V D,1
braves,B R EY V Z,1
braves',B R EY V Z,1
bray,B R EY,1
break,B R EY K,1
breaks,B R EY K S,1
brey,B R EY,1
c'est(1),S EY,1
cabe,K EY B,1
cade,K EY D,1
cage,K EY JH,1
caged,K EY JH D,1
cain,K EY N,1
cain's,K EY N Z,1
caine,K EY N,1
caines,K EY N Z,1
caisse,K EY S,1
cake,K EY K,1
cake's,K EY K S,1
caked,K EY K T,1
cakes,K EY K S,1
came,K EY M,1
cane,K EY N,1
caned,K EY N D,1
canes,K EY N Z,1
cape,K EY P,1
caped,K EY P T,1
capes,K EY P S,1
case,K EY S,1
cate,K EY T,1
cates,K EY T S,1
cave,K EY V,1
cave's,K EY V Z,1
caved,K EY V D,1
caves,K EY V Z,1
cay,K EY,1
cayce,K EY S,1
cayes,K EY Z,1
cayne,K EY N,1
chace,CH EY S,1
chafe,CH EY F,1
chafed,CH EY F T,1
chafes,CH EY F S,1
chain,CH EY N,1
chain's,CH EY N Z,1
chained,CH EY N D,1
chains,CH EY N Z,1
chains',CH EY N Z,1
chaise,SH EY Z,1
chait,CH EY T,1
change,CH EY N JH,1
changed,CH EY N JH D,1
chase,CH EY S,1
chased,CH EY S T,1
chaste,CH EY S T,1
chaves,CH EY V Z,1
che,CH EY,1
che's,CH EY Z,1
cheyne,CH EY N,1
chez,SH EY,1
chseing,CH EY NG,1
claes,K L EY Z,1
claeys,K L EY Z,1
claim,K L EY M,1
claimed,K L EY M D,1
claims,K L EY M Z,1
clay,K L EY,1
clays,K L EY Z,1
crace,K R EY S,1
craib,K R EY B,1
craig,K R EY G,1
craig's,K R EY G Z,1
crain,K R EY N,1
crain's,K R EY N Z,1
craine,K R EY N,1
crames,K R EY M Z,1
crane,K R EY N,1
crane's,K R EY N Z,1
craned,K R EY N D,1
cranes,K R EY N Z,1
crase,K R EY Z,1
crate,K R EY T,1
crates,K R EY T S,1
crave,K R EY V,1
craved,K R EY V D,1
craves,K R EY V Z,1
cray,K R EY,1
cray's,K R EY Z,1
crayne,K R EY N,1
crays,K R EY Z,1
craze,K R EY Z,1
crazed,K R EY Z D,1
crepe,K R EY P,1
crepes,K R EY P S,1
dace,D EY S,1
dade,D EY D,1
dae,D EY,1
dain,D EY N,1
daines,D EY N Z,1
dains,D EY N Z,1
dais,D EY Z,1
daise,D EY Z,1
dake,D EY K,1
dame,D EY M,1
dame's,D EY M Z,1
dames,D EY M Z,1
damme(1),D EY M,1
dane,D EY N,1
dane's,D EY N Z,1
danes,D EY N Z,1
dase,D EY Z,1
date,D EY T,1
date's,D EY T S,1
dates,D EY T S,1
dave,D EY V,1
dave's,D EY V Z,1
daves,D EY V Z,1
day,D EY,1
day's,D EY Z,1
daye,D EY,1
dayne,D EY N,1
days,D EY Z,1
days',D EY Z,1
daze,D EY Z,1
dazed,D EY Z D,1
de(1),D EY,1
deign,D EY N,1
deigned,D EY N D,1
deigns,D EY N Z,1
dey,D EY,1
drace,D R EY S,1
drage,D R EY JH,1
drain,D R EY N,1
draine,D R EY N,1
drained,D R EY N D,1
drains,D R EY N Z,1
drake,D R EY K,1
drakes,D R EY K S,1
drane,D R EY N,1
drape,D R EY P,1
draped,D R EY P T,1
drapes,D R EY P S,1
draves,D R EY V Z,1
dray,D R EY,1
drey,D R EY,1
duan(1),D W EY N,1
duane,D W EY N,1
dwayne,D W EY N,1
eight,EY T,1
eight's,EY T S,1
eighth,EY T TH,1
eighth(1),EY TH,1
eighths,EY T TH S,1
eights,EY T S,1
eyde,EY D,1
face,F EY S,1
faced,F EY S T,1
fade,F EY D,1
fades,F EY D Z,1
fain,F EY N,1
faint,F EY N T,1
fait,F EY T,1
faith,F EY TH,1
faiths,F EY TH S,1
fake,F EY K,1
faked,F EY K T,1
fakes,F EY K S,1
fame,F EY M,1
famed,F EY M D,1
fane,F EY N,1
fate,F EY T,1
fates,F EY T S,1
fave,F EY V,1
fay,F EY,1
fay's,F EY Z,1
faye,F EY,1
faye's,F EY Z,1
fayed,F EY D,1
fayed's,F EY D Z,1
fayme,F EY M,1
fayne,F EY N,1
faze,F EY Z,1
fazed,F EY Z D,1
fe,F EY,1
fe's,F EY Z,1
feight,F EY T,1
feign,F EY N,1
feigned,F EY N D,1
fein(1),F EY N,1
fein's(1),F EY N Z,1
feint,F EY N T,1
fete,F EY T,1
fey,F EY,1
flaig,F L EY G,1
flaim,F L EY M,1
flake,F L EY K,1
flakes,F L EY K S,1
flame,F L EY M,1
flamed,F L EY M D,1
flames,F L EY M Z,1
flay,F L EY,1
flayed,F L EY D,1
frace,F R EY S,1
fraim,F R EY M,1
frain,F R EY N,1
fraine,F R EY N,1
frakes,F R EY K S,1
frame,F R EY M,1
framed,F R EY M D,1
frames,F R EY M Z,1
frane,F R EY N,1
frase,F R EY Z,1
frate,F R EY T,1
frates,F R EY T S,1
fray,F R EY,1
frayed,F R EY D,1
frayn,F R EY N,1
frayne,F R EY N,1
fraze,F R EY Z,1
freight,F R EY T,1
frein,F R EY N,1
frey,F R EY,1
frey's,F R EY Z,1
freyne,F R EY N,1
gabe,G EY B,1
gade,G EY D,1
gage,G EY JH,1
gai,G EY,1
gaige,G EY JH,1
gain,G EY N,1
gained,G EY N D,1
gaines,G EY N Z,1
gains,G EY N Z,1
gait,G EY T,1
game,G EY M,1
game's,G EY M Z,1
games,G EY M Z,1
games',G EY M Z,1
ganes,G EY N Z,1
gape,G EY P,1
gase,G EY Z,1
gasque,G EY S K,1
gate,G EY T,1
gates,G EY T S,1
gates',G EY T S,1
gates's(1),G EY T S,1
gauge,G EY JH,1
gauged,G EY JH D,1
gave,G EY V,1
gay,G EY,1
gaye,G EY,1
gays,G EY Z,1
gaze,G EY Z,1
gazed,G EY Z D,1
glace,G L EY S,1
glade,G L EY D,1
glades,G L EY D Z,1
glaze,G L EY Z,1
glazed,G L EY Z D,1
grabe,G R EY B,1
grace,G R EY S,1
graced,G R EY S T,1
grade,G R EY D,1
grades,G R EY D Z,1
graeme,G R EY M,1
grafe,G R EY F,1
grage,G R EY JH,1
grain,G R EY N,1
grained,G R EY N D,1
grains,G R EY N Z,1
grames,G R EY M Z,1
grange,G R EY N JH,1
grape,G R EY P,1
grapes,G R EY P S,1
grate,G R EY T,1
grates,G R EY T S,1
grave,G R EY V,1
graves,G R EY V Z,1
gray,G R EY,1
gray's,G R EY Z,1
graye,G R EY,1
grays,G R EY Z,1
graze,G R EY Z,1
grazed,G R EY Z D,1
great,G R EY T,1
great's,G R EY T S,1
greats,G R EY T S,1
grein,G R EY N,1
greinke,G R EY NG K,1
grey,G R EY,1
grey's,G R EY Z,1
guay,G EY,1
gway,G W EY,1
h,EY CH,1
h.,EY CH,1
hade,HH EY D,1
hage,HH EY JH,1
hague,HH EY G,1
hahne,HH EY N,1
haid,HH EY D,1
haig,HH EY G,1
haig's,HH EY G Z,1
haigh,HH EY,1
haight,HH EY T,1
haik,HH EY K,1
haim(1),HH EY M,1
haimes,HH EY M Z,1
hain,HH EY N,1
haines,HH EY N Z,1
hains,HH EY N Z,1
hait,HH EY T,1
haith,HH EY TH,1
hake,HH EY K,1
hakes,HH EY K S,1
hames,HH EY M Z,1
hane,HH EY N,1
hanes,HH EY N Z,1
hase,HH EY Z,1
haske,HH EY S K,1
haste,HH EY S T,1
hate,HH EY T,1
hates,HH EY T S,1
hay,HH EY,1
haye,HH EY,1
hayes,HH EY Z,1
haymes,HH EY M Z,1
hayn,HH EY N,1
hayne,HH EY N,1
haynes,HH EY N Z,1
hays,HH EY Z,1
hayse,HH EY Z,1
haze,HH EY Z,1
hey,HH EY,1
heyd,HH EY D,1
heyde,HH EY D,1
heydt,HH EY D T,1
heyn,HH EY N,1
heyne,HH EY N,1
heys,HH EY Z,1
heyse,HH EY S,1
hwe,HH W EY,1
j,JH EY,1
j's,JH EY Z,1
j.,JH EY,1
j.'s,JH EY Z,1
jacque,ZH EY K,1
jade,JH EY D,1
jades,JH EY D Z,1
jae,JH EY,1
jae's,JH EY Z,1
jain(1),JH EY N,1
jake,JH EY K,1
jake's,JH EY K S,1
jakes,JH EY K S,1
james,JH EY M Z,1
james',JH EY M Z,1
jane,JH EY N,1
jane's,JH EY N Z,1
janes,JH EY N Z,1
jay,JH EY,1
jay's,JH EY Z,1
jaye,JH EY,1
jayne,JH EY N,1
jaynes,JH EY N Z,1
jays,JH EY Z,1
k,K EY,1
k's,K EY Z,1
k.,K EY,1
k.'s,K EY Z,1
kade,K EY D,1
kage,K EY JH,1
kaim,K EY M,1
kain,K EY N,1
kaine,K EY N,1
kainz,K EY N Z,1
kane,K EY N,1
kane's,K EY N Z,1
kase,K EY Z,1
kate,K EY T,1
kate's,K EY T S,1
kates,K EY T S,1
kay,K EY,1
kay's,K EY Z,1
kaye,K EY,1
kayes,K EY Z,1
kayne,K EY N,1
kays,K EY Z,1
keynes,K EY N Z,1
khe,K EY,1
klase,K L EY Z,1
klay,K L EY,1
kley,K L EY,1
knabe,N EY B,1
knape,N EY P,1
knapke,N EY P K,1
knave,N EY V,1
knaves,N EY V Z,1
krage,K R EY JH,1
krain,K R EY N,1
krane,K R EY N,1
kray,K R EY,1
krein,K R EY N,1
krey,K R EY,1
labe,L EY B,1
lace,L EY S,1
laced,L EY S T,1
lade,L EY D,1
lage,L EY JH,1
laib,L EY B,1
laiche,L EY CH,1
laid,L EY D,1
lain,L EY N,1
laine,L EY N,1
lais,L EY Z,1
lait,L EY,1
lake,L EY K,1
lake's,L EY K S,1
lakes,L EY K S,1
lakes',L EY K S,1
lame,L EY M,1
lane,L EY N,1
lane's,L EY N Z,1
lanes,L EY N Z,1
lape,L EY P,1
lase,L EY Z,1
laske,L EY S K,1
late,L EY T,1
lathe,L EY DH,1
lathes,L EY DH Z,1
lave,L EY V,1
lay,L EY,1
lay's,L EY Z,1
laye,L EY,1
layne,L EY N,1
lays,L EY Z,1
lei,L EY,1
leight,L EY T,1
leis,L EY Z,1
les(1),L EY,1
ley,L EY,1
leyh,L EY,1
leys,L EY Z,1
llanes,L EY N Z,1
ln,L EY N,1
mabe,M EY B,1
mace,M EY S,1
made,M EY D,1
mae,M EY,1
mae's,M EY Z,1
maes,M EY Z,1
maid,M EY D,1
maid's,M EY D Z,1
maids,M EY D Z,1
maids',M EY D Z,1
maim,M EY M,1
maimed,M EY M D,1
maims,M EY M Z,1
main,M EY N,1
maine,M EY N,1
maine's,M EY N Z,1
maines,M EY N Z,1
mains,M EY N Z,1
mainz,M EY N Z,1
mais,M EY S,1
maize,M EY Z,1
make,M EY K,1
makes,M EY K S,1
mame,M EY M,1
mane,M EY N,1
maned,M EY N D,1
manes,M EY N Z,1
mange,M EY N JH,1
mapes,M EY P S,1
mase,M EY Z,1
maske,M EY S K,1
mate,M EY T,1
mates,M EY T S,1
mathe,M EY DH,1
mave,M EY V,1
maves,M EY V Z,1
may,M EY,1
may's,M EY Z,1
mayde,M EY D,1
maye,M EY,1
mayes,M EY Z,1
mayme,M EY M,1
mayne,M EY N,1
maynes,M EY N Z,1
mayr,M EY R,1
mays,M EY Z,1
mays',M EY Z,1
mayse,M EY Z,1
maze,M EY Z,1
mei,M EY,1
meir,M EY R,1
mey,M EY,1
meyn,M EY N,1
nace,N EY S,1
naik,N EY K,1
naish(1),N EY SH,1
name,N EY M,1
name's,N EY M Z,1
named,N EY M D,1
names,N EY M Z,1
nase,N EY Z,1
nate,N EY T,1
nate's,N EY T S,1
nathe,N EY DH,1
nave,N EY V,1
nay,N EY,1
nays,N EY Z,1
ne(1),N EY,1
nej,N EY,1
ney,N EY,1
pace,P EY S,1
paced,P EY S T,1
page,P EY JH,1
paged,P EY JH D,1
paid,P EY D,1
paige,P EY JH,1
paign,P EY N,1
paik,P EY K,1
pain,P EY N,1
paine,P EY N,1
pained,P EY N D,1
pains,P EY N Z,1
paint,P EY N T,1
paints,P EY N T S,1
pais,P EY Z,1
pait,P EY T,1
paiz,P EY Z,1
pake,P EY K,1
pane,P EY N,1
panes,P EY N Z,1
pape,P EY P,1
papke,P EY P K,1
paske,P EY S K,1
paste,P EY S T,1
pastes,P EY S T S,1
pate,P EY T,1
pates,P EY T S,1
pave,P EY V,1
paved,P EY V D,1
paves,P EY V Z,1
pay,P EY,1
paye,P EY,1
payne,P EY N,1
pays,P EY Z,1
pei,P EY,1
pei's,P EY Z,1
phage,F EY JH,1
phase,F EY Z,1
phased,F EY Z D,1
phrase,F R EY Z,1
phrased,F R EY Z D,1
place,P L EY S,1
placed,P L EY S T,1
plague,P L EY G,1
plagued,P L EY G D,1
plagues,P L EY G Z,1
plain,P L EY N,1
plaines,P L EY N Z,1
plains,P L EY N Z,1
plait,P L EY T,1
plaits,P L EY T S,1
plake,P L EY K,1
plane,P L EY N,1
plane's,P L EY N Z,1
planed,P L EY N D,1
planes,P L EY N Z,1
planes',P L EY N Z,1
plate,P L EY T,1
plates,P L EY T S,1
play,P L EY,1
play's,P L EY Z,1
played,P L EY D,1
plays,P L EY Z,1
praise,P R EY Z,1
praised,P R EY Z D,1
prange,P R EY N JH,1
pray,P R EY,1
prayed,P R EY D,1
prays,P R EY Z,1
prey,P R EY,1
preyed,P R EY D,1
preys,P R EY Z,1
quade,K W EY D,1
quai,K EY,1
quaid,K W EY D,1
quain,K W EY N,1
quaint,K W EY N T,1
quake,K W EY K,1
quake's,K W EY K S,1
quakes,K W EY K S,1
quave,K W EY V,1
quay(1),K EY,1
quaye,K EY,1
quaye(1),K W EY,1
rabe,R EY B,1
race,R EY S,1
raced,R EY S T,1
rae,R EY,1
rafe,R EY F,1
rage,R EY JH,1
raged,R EY JH D,1
rague,R EY G,1
raiche,R EY CH,1
raid,R EY D,1
raids,R EY D Z,1
raiff,R EY F,1
raikes,R EY K S,1
rain,R EY N,1
raine,R EY N,1
rained,R EY N D,1
raines,R EY N Z,1
rains,R EY N Z,1
rais,R EY S,1
raise,R EY Z,1
raised,R EY Z D,1
rait,R EY T,1
raith,R EY TH,1
raitt,R EY T,1
rake,R EY K,1
raked,R EY K T,1
rakes,R EY K S,1
ranes,R EY N Z,1
range,R EY N JH,1
ranged,R EY N JH D,1
rape,R EY P,1
raped,R EY P T,1
rapes,R EY P S,1
rase,R EY Z,1
raske,R EY S K,1
rate,R EY T,1
rate's,R EY T S,1
rates,R EY T S,1
rathe,R EY DH,1
rave,R EY V,1
raved,R EY V D,1
raves,R EY V Z,1
ray,R EY,1
ray's,R EY Z,1
raye,R EY,1
rayed,R EY D,1
rayne,R EY N,1
raynes,R EY N Z,1
rays,R EY Z,1
raze,R EY Z,1
razed,R EY Z D,1
re,R EY,1
re's,R EY Z,1
rea,R EY,1
rea's,R EY Z,1
reay,R EY,1
reign,R EY N,1
reigned,R EY N D,1
reigns,R EY N Z,1
rein,R EY N,1
reine,R EY N,1
reined,R EY N D,1
reines,R EY N Z,1
reinke,R EY NG K,1
reins,R EY N Z,1
res,R EY Z,1
rey,R EY,1
rhame,R EY M,1
rhames,R EY M Z,1
safe,S EY F,1
safes,S EY F S,1
sage,S EY JH,1
sain,S EY N,1
saine,S EY N,1
saint,S EY N T,1
saint's,S EY N T S,1
saints,S EY N T S,1
saints',S EY N T S,1
sainz,S EY N Z,1
sais,S EY Z,1
saiz,S EY Z,1
sake,S EY K,1
sake's,S EY K S,1
sakes,S EY K S,1
same,S EY M,1
same's,S EY M Z,1
sames,S EY M Z,1
sane,S EY N,1
sate,S EY T,1
sates,S EY T S,1
save,S EY V,1
save's,S EY V Z,1
saved,S EY V D,1
saves,S EY V Z,1
say,S EY,1
saye,S EY,1
sayed(2),S EY D,1
scaife,S K EY F,1
scape,S K EY P,1
scates,S K EY T S,1
schabes,SH EY B Z,1
schade,SH EY D,1
schake,SH EY K,1
schave,SH EY V,1
schey,SH EY,1
schlake,SH L EY K,1
schley,SH L EY,1
schnake,SH N EY K,1
schrade,SH R EY D,1
schrage,SH R EY JH,1
schwake,SH W EY K,1
scrape,S K R EY P,1
scraped,S K R EY P T,1
scrapes,S K R EY P S,1
se,S EY,1
seay,S EY,1
seine,S EY N,1
sejm,S EY M,1
shade,SH EY D,1
shades,SH EY D Z,1
shaik,SH EY K,1
shaikh,SH EY K,1
shain,SH EY N,1
shaine,SH EY N,1
shake,SH EY K,1
shakes,SH EY K S,1
shame,SH EY M,1
shamed,SH EY M D,1
shames,SH EY M Z,1
shane,SH EY N,1
shape,SH EY P,1
shaped,SH EY P T,1
shapes,SH EY P S,1
shave,SH EY V,1
shaved,SH EY V D,1
shaves,SH EY V Z,1
shay,SH EY,1
shayne,SH EY N,1
shays,SH EY Z,1
shea,SH EY,1
shea's,SH EY Z,1
shlaes,SH L EY Z,1
shrake,SH R EY K,1
skains,S K EY N Z,1
skase,S K EY Z,1
skate,S K EY T,1
skates,S K EY T S,1
skein,S K EY N,1
skeins,S K EY N Z,1
slade,S L EY D,1
slain,S L EY N,1
slaine,S L EY N,1
slane,S L EY N,1
slape,S L EY P,1
slate,S L EY T,1
slates,S L EY T S,1
slave,S L EY V,1
slaves,S L EY V Z,1
slay,S L EY,1
sleigh,S L EY,1
smay,S M EY,1
snake,S N EY K,1
snake's,S N EY K S,1
snakes,S N EY K S,1
snape,S N EY P,1
snay,S N EY,1
space,S P EY S,1
spaced,S P EY S T,1
spade,S P EY D,1
spades,S P EY D Z,1
spaid,S P EY D,1
spain,S P EY N,1
spain's,S P EY N Z,1
spake,S P EY K,1
spate,S P EY T,1
spates,S P EY T S,1
spay,S P EY,1
spayd,S P EY D,1
spayde,S P EY D,1
spayed,S P EY D,1
speight,S P EY T,1
speights,S P EY T S,1
spey,S P EY,1
splain,S P L EY N,1
splaine,S P L EY N,1
sprague,S P R EY G,1
sprague's,S P R EY G Z,1
sprain,S P R EY N,1
sprained,S P R EY N D,1
sprains,S P R EY N Z,1
spray,S P R EY,1
sprayed,S P R EY D,1
sprays,S P R EY Z,1
st.(1),S EY N T,1
stade,S T EY D,1
stage,S T EY JH,1
staged,S T EY JH D,1
staib,S T EY B,1
staid,S T EY D,1
stain,S T EY N,1
stained,S T EY N D,1
staines,S T EY N Z,1
stains,S T EY N Z,1
stake,S T EY K,1
stake's,S T EY K S,1
staked,S T EY K T,1
stakes,S T EY K S,1
state,S T EY T,1
state's,S T EY T S,1
states,S T EY T S,1
states',S T EY T S,1
stave,S T EY V,1
staved,S T EY V D,1
staves,S T EY V Z,1
stay,S T EY,1
stayed,S T EY D,1
stays,S T EY Z,1
steak,S T EY K,1
steaks,S T EY K S,1
strafe,S T R EY F,1
straight,S T R EY T,1
straights,S T R EY T S,1
strain,S T R EY N,1
strained,S T R EY N D,1
strains,S T R EY N Z,1
strait,S T R EY T,1
straits,S T R EY T S,1
strange,S T R EY N JH,1
strate,S T R EY T,1
stray,S T R EY,1
strayed,S T R EY D,1
strays,S T R EY Z,1
streight,S T R EY T,1
strey,S T R EY,1
suede,S W EY D,1
suedes,S W EY D Z,1
swaim,S W EY M,1
swain,S W EY N,1
swaine,S W EY N,1
swape,S W EY P,1
swapes,S W EY P S,1
swathe(1),S W EY DH,1
sway,S W EY,1
swayed,S W EY D,1
swayne,S W EY N,1
sways,S W EY Z,1
swayze,S W EY Z,1
sze(1),SH EY,1
tae,T EY,1
taint,T EY N T,1
taints,T EY N T S,1
tait,T EY T,1
taite,T EY T,1
taitt,T EY T,1
take,T EY K,1
takes,T EY K S,1
tame,T EY M,1
tamed,T EY M D,1
tames,T EY M Z,1
tape,T EY P,1
tape's,T EY P S,1
taped,T EY P T,1
tapes,T EY P S,1
taste,T EY S T,1
tastes,T EY S T S,1
tate,T EY T,1
tate's,T EY T S,1
tatge,T EY T JH,1
taves,T EY V Z,1
tay,T EY,1
tays,T EY Z,1
thain,TH EY N,1
thaine,TH EY N,1
thane,TH EY N,1
thayne,TH EY N,1
they,DH EY,1
they'd,DH EY D,1
they've,DH EY V,1
trace,T R EY S,1
traced,T R EY S T,1
trade,T R EY D,1
trade's,T R EY D Z,1
trades,T R EY D Z,1
train,T R EY N,1
train's,T R EY N Z,1
trained,T R EY N D,1
trains,T R EY N Z,1
traipse,T R EY P S,1
trait,T R EY T,1
traits,T R EY T S,1
trane,T R EY N,1
tray,T R EY,1
trays,T R EY Z,1
tre,T R EY,1
trey,T R EY,1
twain,T W EY N,1
twain's,T W EY N Z,1
vague,V EY G,1
vain,V EY N,1
vane,V EY N,1
vanes,V EY N Z,1
vape,V EY P,1
vares(1),V EY R Z,1
vase,V EY S,1
vaske,V EY S K,1
vein,V EY N,1
veins,V EY N Z,1
vey,V EY,1
veyne,V EY N,1
vrain,V R EY N,1
wace,W EY S,1
wade,W EY D,1
wade's,W EY D Z,1
wades,W EY D Z,1
wage,W EY JH,1
waged,W EY JH D,1
waid,W EY D,1
waide,W EY D,1
waif,W EY F,1
wain,W EY N,1
wais,W EY Z,1
waist,W EY S T,1
waists,W EY S T S,1
wait,W EY T,1
waite,W EY T,1
waite's,W EY T S,1
waites,W EY T S,1
waits,W EY T S,1
waitt,W EY T,1
waive,W EY V,1
waived,W EY V D,1
waives,W EY V Z,1
wake,W EY K,1
wakes,W EY K S,1
wane,W EY N,1
waned,W EY N D,1
wanes,W EY N Z,1
waste,W EY S T,1
waste's,W EY S T S,1
wastes,W EY S T S,1
wave,W EY V,1
waved,W EY V D,1
waves,W EY V Z,1
way,W EY,1
way's,W EY Z,1
waye,W EY,1
wayne,W EY N,1
wayne's,W EY N Z,1
ways,W EY Z,1
wayt,W EY T,1
wei,W EY,1
weigh,W EY,1
weighed,W EY D,1
weighs,W EY Z,1
weight,W EY T,1
weights,W EY T S,1
wey,W EY,1
whate,W EY T,1
whey,W EY,1
whey(1),HH W EY,1
wrage,R EY JH,1
wray,R EY,1
wy,W EY,1
