,phonemic_transcription
16838,HH EH N S F AO R TH
16839,HH EH N TH AO R N
16840,HH EH N TH AO R N
16841,JH EH T B AO R N
16842,K EH M P TH AO R N
16843,K EH N M AO R
16844,K EH N M AO R
16845,L EH R M AO R
16846,L EH F K AO R T
16847,L EH G HH AO R N
16848,L EH G HH AO R N Z
16849,L EH G AO R
16850,EH M F AO R
16851,M EH N AO R D
16852,EH M K AO R P
16853,EH M K AO R P S
16854,M EH N T AO R
16855,M EH N T AO R Z
16856,M EH N T AO R Z
16857,M EH S M AO R
16858,EH NG G AO R
16859,P EH G B AO R D
16860,P EH G B AO R D Z
16861,P EH N K AO R P
16862,P R EH D M AO R
16863,P R EH S B AO R D
16864,R EH F K AO R P
16865,R EH K S N AO R D
16866,S EH K T UW R
16867,S EH D AO R
16868,T EH M P AO R
16869,T EH N AO R
16870,DH EH N S F AO R TH
16871,DH EH R F AO R
16872,V EH N K AO R
16873,W EH N D AO R F
16874,W EH N D AO R F
16875,W EH S T K AO R P
16876,W EH S T P AO R T
16877,W EH T M AO R
16878,R IY EH K S P AO R T
16879,R IY EH K S P AO R T S
16880,AA G R EH S AO R S
16881,G AA L EH M AO R
16882,V IY L AA S EH N AO R
16883,AH N EH N F AO R S T
16884,HH EH K EH N D AO R N
16885,M EH D EH N D AO R P
16886,D IH V EH N P AO R T
16887,D IH T EH M AO R
16888,IH N V EH S T K AO R P
16889,M UW L EH N D AO R
16890,B IH R D M AO R
16891,B IH F AO R
16892,B IH K M AO R
16893,B IH G HH AO R N
16894,B IH G HH AO R N Z
16895,B IH L B AO R D
16896,B IH L B AO R D Z
16897,B IH L B AO R D Z
16898,B IH L T M AO R
16899,B R IH JH F AO R D
16900,B R IH JH F AO R TH
16901,B R IH JH P AO R T
16902,CH IH P B AO R D
16903,S IH L K AO R P
16904,K L IH P B AO R D
16905,D IH R B AO R N
16906,D IH R D AO R F
16907,D IH R D AO R F
16908,D IH B AO R D
16909,D IH B AO R D
16910,D IH K AO R
16911,D IH R B AO R N
16912,D IH F AO R M D
16913,D IH P L AO R
16914,D IH P L AO R D
16915,D IH P L AO R Z
16916,D IH P AO R T
16917,D IH V AO R
16918,D IH L M AO R
16919,D IH S K AO R D
16920,D IH S K AO R S
16921,D IH S G AO R JH
16922,D IH S G AO R JH D
16923,D IH S M AO R
16924,D IH S T AO R T
16925,D IH S T AO R T S
16926,D IH T M AO R
16927,D IH V AO R S
16928,D IH V AO R S T
16929,D IH N K AO R P
16930,IH L N AO R
16931,IH G Z AO R T
16932,IH G Z AO R T S
16933,IH K S P L AO R
16934,IH K S P L AO R D
16935,IH K S P L AO R Z
16936,F IH L M AO R
16937,F IH L M AO R
16938,G IH F T HH AO R S
16939,G IH L G AO R
16940,G IH L M AO R
16941,G IH L S D AO R F
16942,G L IH N D B AO R N
16943,IH G N AO R
16944,IH G N AO R D
16945,IH G N AO R Z
16946,IH G AO R
16947,IH M P L AO R
16948,IH M P L AO R D
16949,IH M P L AO R Z
16950,IH M P AO R T
16951,IH M P AO R T
16952,IH M P AO R T S
16953,IH M P AO R T S
16954,IH M P AO R T S
16955,IH N B AO R D
16956,IH N B AO R N
16957,IH N D AO R
16958,IH N D AO R Z
16959,IH N F AO R M
16960,IH N F AO R M D
16961,IH N F AO R M Z
16962,IH N SH AO R
16963,IH S UW R Z
16964,K IH L B AO R N
16965,K IH L G AO R
16966,K IH L G AO R
16967,K IH NG S P AO R T
16968,L IH N D HH AO R S T
16969,L IH V AO R
16970,M IH S UW R Z
16971,M IH D K AO R S
16972,N IH M AO R Z
16973,N IH K S D AO R F
16974,N IH K S D AO R F S
16975,P IH S P UW R
16976,P IH CH F AO R K
16977,P IH CH F AO R K S
16978,P R IH K AO R T
16979,P R IH D M AO R
16980,P R IH G M AO R
16981,R IH K AO R D
16982,R IH K AO R D Z
16983,R IH F AO R M
16984,R IH F AO R M D
16985,R IH F AO R M Z
16986,R IH M AO R S
16987,R IH P AO R T
16988,R IH P AO R T S
16989,R IH P AO R T S
16990,R IH P AO R T S
16991,R IH Z AO R T
16992,R IH Z AO R T S
16993,R IH Z AO R T S
16994,R IH Z AO R T S
16995,R IH S T AO R
16996,R IH S T AO R D
16997,R IH S T AO R Z
16998,R IH T AO R T S
16999,R IH V AO R D
17000,R IH W AO R D
17001,R IH W AO R D Z
17002,R IH CH B AO R G
17003,R IH G Y UW R
17004,S K R IH M G AO R
17005,SH IH P B AO R D
17006,SH IH T S T AO R M
17007,S K IH D M AO R
17008,S P R IH NG B AO R D
17009,S T IH L B AO R N
17010,S W IH CH B AO R D
17011,S W IH CH B AO R D Z
17012,S IH N K AO R
17013,S IH N HH AO R S T
17014,T IH D M AO R
17015,T IH P S AO R D
17016,W IH T M AO R
17017,HH W IH T M AO R
17018,W IH T M AO R
17019,HH W IH T M AO R
17020,W IH G M AO R
17021,W IH L M AO R
17022,W IH L M AO R
17023,W IH N D HH AO R S T
17024,W IH N D S T AO R M
17025,K AA R N IH V AO R
17026,P R IY R IH K AO R D
17027,S OW B IH B AO R
17028,AO R IH N D AO R F
17029,K EY M B R IH JH P AO R T
17030,L EY NG G IH N D AO R F
17031,D IY F IH N D AO R F
17032,R IY IH N F AO R S
17033,R IY IH N F AO R S T
17034,D AA K IH N D AO R F
17035,R AA K R IH Z AO R T
17036,R AA K R IH Z AO R T S
17037,S AA N IH B AO R N
17038,OW L IH N D AO R F
17039,P OW L K IH NG HH AO R N
17040,L AH N S IH F AO R D
17041,S P AH N JH IH F AO R M
17042,S P AH N JH IH F AO R M
17043,AH N IH K S P L AO R D
17044,AH N IH N F AO R M D
17045,AE L IH N D AO R F
17046,B AE S IH HH AO R
17047,HH AE S IH L HH AO R S T
17048,HH AE T IH N D AO R F
17049,S AE B IH T AO R Z
17050,HH AY AE N IH S P AO R T
17051,HH ER B IH V AO R
17052,ER B IH V AO R
17053,T ER P S IH K AO R D
17054,AH N D ER IH N SH AO R
17055,AH N D ER IH N SH AO R D
17056,AH N D ER R IH P AO R T
17057,B EH T IH N K AO R T
17058,B EH T IH N D AO R F
17059,D EH V IH N D AO R F
17060,EH K W IH K AO R
17061,F EH N IH M AO R
17062,F EH N IH M AO R
17063,L EH F IH B Y UW R
17064,M EH R IH D AO R
17065,N EH F T IH G AO R S K
17066,P EH D IH K AO R D
17067,P EH D IH K Y AO R
17068,P EH D IH K Y AO R Z
17069,K W EH B IH K AO R
17070,W EH S T IH N D AO R F
17071,AH M EH R IH K AO R
17072,AH M EH R IH K AO R P
17073,AH M EH R IH K AO R
17074,EH L IH N P AO R
17075,EH L M IH N D AO R F
17076,R EH L IH F AO R D
17077,W EH L IH N D AO R F
17078,IH N T EH L IH K AO R P
17079,D IH S IH N F AO R M
17080,HH IH L G IH N D AO R F
17081,IH Z IH D AO R
17082,M IH L IH P AO R
17083,M IH S IH N F AO R M
17084,M IH S IH N F AO R M D
17085,M IH S IH N F AO R M Z
17086,M IH S R IH P AO R T
17087,M IH T IH N D AO R F
17088,SH IH P IH NG P AO R T
17089,W IH L IH N B AO R G
17090,HH AH L IH S IH F AO R N
17091,P AH S IH F IH K AO R P
17092,HH Y UW M IH D AO R
17093,Y UW N IH K AO R N
17094,Y UW N IH K AO R P
17095,Y UW N IH K AO R P S
17096,Y UW N IH F AO R S
17097,Y UW N IH S AO R S
17098,AO L P AO R T
17099,AO L Z D AO R F
17100,B R AO D S AO R D
17101,HH AO TH AO R N
17102,HH AO TH AO R N
17103,HH AO TH AO R N Z
17104,HH AO TH AO R N Z
17105,L AO NG HH AO R N
17106,L AO NG HH AO R N Z
17107,L AO NG SH AO R
17108,AO F SH AO R
17109,AO F SH AO R D
17110,AO Z B AO R N
17111,AO Z B AO R N
17112,AO Z B AO R N Z
17113,P R AO NG HH AO R N
17114,W AO L D HH AO R N
17115,W AO L D AO R F
17116,W AO L B AO R D
17117,S P AA D AO F AO R
17118,B EH L K AO R T
17119,B EH L K AO R
17120,B EH L K AO R Z
17121,B EH L M AO R
17122,B EH L M AO R
17123,D EH L K AO R
17124,D EH L M AO R
17125,EH L K AO R
17126,EH L K HH AO R N
17127,EH L M AO R
17128,HH EH L TH K AO R P
17129,HH EH L TH K AO R
17130,HH EH L TH S AO R S
17131,M EH L AO R
17132,N EH L K AO R
17133,T EH L S AO R S
17134,T R EH L AO R
17135,V EH L UW R
17136,W EH L D UW R
17137,W EH L B AO R N
17138,P IY EY CH EH L K AO R P
17139,L UW K W AO R M
17140,M UW N T F AO R D
17141,N UW B AO R N
17142,N UW B AO R N Z
17143,N UW K AO R
17144,N UW P AO R T
17145,N UW P AO R T S
17146,N UW Z K AO R P
17147,N UW Z K AO R P S
17148,N UW Y AO R K
17149,N UW Y AO R K S
17150,N UW K AO R
17151,N UW K AO R Z
17152,N UW K AO R P
17153,R UW M AO R
17154,SH UW HH AO R N
17155,SH UW HH AO R N D
17156,S P UW N M AO R
17157,AH N T UW AO R D
17158,IH N S IH T UW F AO R M
17159,EY
17160,EY Z
17161,EY B
17162,EY S
17163,EY S T
17164,EY K
17165,EY K T
17166,EY K S
17167,EY D
17168,EY D Z
17169,EY
17170,EY JH
17171,EY JH D
17172,EY D
17173,EY D Z
17174,EY D
17175,EY D Z
17176,EY D Z
17177,EY D Z
17178,EY D Z
17179,EY M
17180,EY M Z
17181,EY M
17182,EY M D
17183,EY M Z
17184,EY N T
17185,EY N
17186,EY NG
17187,EY N JH
17188,EY S T
17189,EY TH N
17190,EY K S
17191,EY K
17192,EY M
17193,EY M Z
17194,EY M Z
17195,EY N
17196,EY N JH
17197,EY P
17198,EY P S
17199,EY T
17200,EY T S
17201,EY
17202,EY T
17203,EY R Z
17204,EY N
17205,EY N Z
17206,EY R
17207,EY T S
17208,B EY B
17209,B EY B Z
17210,B EY CH
17211,B EY D
17212,B EY HH
17213,B EY G
17214,B EY M
17215,B EY N
17216,B EY N Z
17217,B EY N
17218,B EY N Z
17219,B EY N Z
17220,B EY Z
17221,B EY T
17222,B EY T S
17223,B EY Z
17224,B EY K
17225,B EY K T
17226,B EY K S
17227,B EY M
17228,B EY N
17229,B EY N Z
17230,B EY S
17231,B EY S T
17232,B EY S
17233,B EY S T
17234,B EY T
17235,B EY T S
17236,B EY T S
17237,B EY DH
17238,B EY DH D
17239,B EY DH Z
17240,B EY
17241,B EY Z
17242,B EY
17243,B EY D
17244,B EY Z
17245,B EY
17246,B EY N
17247,B EY N Z
17248,B EY Z
17249,B EY Z
17250,B EY Z
17251,B EY G
17252,B EY ZH
17253,B EY T
17254,B EY
17255,B L EY D
17256,B L EY D Z
17257,B L EY Z
17258,B L EY CH
17259,B L EY N
17260,B L EY N
17261,B L EY Z
17262,B L EY Z
17263,B L EY K
17264,B L EY K S
17265,B L EY K S
17266,B L EY M
17267,B L EY M D
17268,B L EY M Z
17269,B L EY N
17270,B L EY Z
17271,B L EY S K
17272,B L EY
17273,B L EY D Z
17274,B L EY N
17275,B L EY Z
17276,B L EY Z
17277,B L EY Z D
17278,B L EY
17279,B EY M
17280,B EY M
17281,B R EY S
17282,B R EY S T
17283,B R EY
17284,B R EY R
17285,B R EY D
17286,B R EY D Z
17287,B R EY N
17288,B R EY N Z
17289,B R EY N D
17290,B R EY N Z
17291,B R EY Z
17292,B R EY Z D
17293,B R EY K
17294,B R EY K T
17295,B R EY K S
17296,B R EY M
17297,B R EY Z
17298,B R EY V
17299,B R EY V D
17300,B R EY V Z
17301,B R EY V Z
17302,B R EY
17303,B R EY K
17304,B R EY K S
17305,B R EY
17306,S EY
17307,K EY B
17308,K EY D
17309,K EY JH
17310,K EY JH D
17311,K EY N
17312,K EY N Z
17313,K EY N
17314,K EY N Z
17315,K EY S
17316,K EY K
17317,K EY K S
17318,K EY K T
17319,K EY K S
17320,K EY M
17321,K EY N
17322,K EY N D
17323,K EY N Z
17324,K EY P
17325,K EY P T
17326,K EY P S
17327,K EY S
17328,K EY T
17329,K EY T S
17330,K EY V
17331,K EY V Z
17332,K EY V D
17333,K EY V Z
17334,K EY
17335,K EY S
17336,K EY Z
17337,K EY N
17338,CH EY S
17339,CH EY F
17340,CH EY F T
17341,CH EY F S
17342,CH EY N
17343,CH EY N Z
17344,CH EY N D
17345,CH EY N Z
17346,CH EY N Z
17347,SH EY Z
17348,CH EY T
17349,CH EY N JH
17350,CH EY N JH D
17351,CH EY S
17352,CH EY S T
17353,CH EY S T
17354,CH EY V Z
17355,CH EY
17356,CH EY Z
17357,CH EY N
17358,SH EY
17359,CH EY NG
17360,K L EY Z
17361,K L EY Z
17362,K L EY M
17363,K L EY M D
17364,K L EY M Z
17365,K L EY
17366,K L EY Z
17367,K R EY S
17368,K R EY B
17369,K R EY G
17370,K R EY G Z
17371,K R EY N
17372,K R EY N Z
17373,K R EY N
17374,K R EY M Z
17375,K R EY N
17376,K R EY N Z
17377,K R EY N D
17378,K R EY N Z
17379,K R EY Z
17380,K R EY T
17381,K R EY T S
17382,K R EY V
17383,K R EY V D
17384,K R EY V Z
17385,K R EY
17386,K R EY Z
17387,K R EY N
17388,K R EY Z
17389,K R EY Z
17390,K R EY Z D
17391,K R EY P
17392,K R EY P S
17393,D EY S
17394,D EY D
17395,D EY
17396,D EY N
17397,D EY N Z
17398,D EY N Z
17399,D EY Z
17400,D EY Z
17401,D EY K
17402,D EY M
17403,D EY M Z
17404,D EY M Z
17405,D EY M
17406,D EY N
17407,D EY N Z
17408,D EY N Z
17409,D EY Z
17410,D EY T
17411,D EY T S
17412,D EY T S
17413,D EY V
17414,D EY V Z
17415,D EY V Z
17416,D EY
17417,D EY Z
17418,D EY
17419,D EY N
17420,D EY Z
17421,D EY Z
17422,D EY Z
17423,D EY Z D
17424,D EY
17425,D EY N
17426,D EY N D
17427,D EY N Z
17428,D EY
17429,D R EY S
17430,D R EY JH
17431,D R EY N
17432,D R EY N
17433,D R EY N D
17434,D R EY N Z
17435,D R EY K
17436,D R EY K S
17437,D R EY N
17438,D R EY P
17439,D R EY P T
17440,D R EY P S
17441,D R EY V Z
17442,D R EY
17443,D R EY
17444,D W EY N
17445,D W EY N
17446,D W EY N
17447,EY T
17448,EY T S
17449,EY T TH
17450,EY TH
17451,EY T TH S
17452,EY T S
17453,EY D
17454,F EY S
17455,F EY S T
17456,F EY D
17457,F EY D Z
17458,F EY N
17459,F EY N T
17460,F EY T
17461,F EY TH
17462,F EY TH S
17463,F EY K
17464,F EY K T
17465,F EY K S
17466,F EY M
17467,F EY M D
17468,F EY N
17469,F EY T
17470,F EY T S
17471,F EY V
17472,F EY
17473,F EY Z
17474,F EY
17475,F EY Z
17476,F EY D
17477,F EY D Z
17478,F EY M
17479,F EY N
17480,F EY Z
17481,F EY Z D
17482,F EY
17483,F EY Z
17484,F EY T
17485,F EY N
17486,F EY N D
17487,F EY N
17488,F EY N Z
17489,F EY N T
17490,F EY T
17491,F EY
17492,F L EY G
17493,F L EY M
17494,F L EY K
17495,F L EY K S
17496,F L EY M
17497,F L EY M D
17498,F L EY M Z
17499,F L EY
17500,F L EY D
17501,F R EY S
17502,F R EY M
17503,F R EY N
17504,F R EY N
17505,F R EY K S
17506,F R EY M
17507,F R EY M D
17508,F R EY M Z
17509,F R EY N
17510,F R EY Z
17511,F R EY T
17512,F R EY T S
17513,F R EY
17514,F R EY D
17515,F R EY N
17516,F R EY N
17517,F R EY Z
17518,F R EY T
17519,F R EY N
17520,F R EY
17521,F R EY Z
17522,F R EY N
17523,G EY B
17524,G EY D
17525,G EY JH
17526,G EY
17527,G EY JH
17528,G EY N
17529,G EY N D
17530,G EY N Z
17531,G EY N Z
17532,G EY T
17533,G EY M
17534,G EY M Z
17535,G EY M Z
17536,G EY M Z
17537,G EY N Z
17538,G EY P
17539,G EY Z
17540,G EY S K
17541,G EY T
17542,G EY T S
17543,G EY T S
17544,G EY T S
17545,G EY JH
17546,G EY JH D
17547,G EY V
17548,G EY
17549,G EY
17550,G EY Z
17551,G EY Z
17552,G EY Z D
17553,G L EY S
17554,G L EY D
17555,G L EY D Z
17556,G L EY Z
17557,G L EY Z D
17558,G R EY B
17559,G R EY S
17560,G R EY S T
17561,G R EY D
17562,G R EY D Z
17563,G R EY M
17564,G R EY F
17565,G R EY JH
17566,G R EY N
17567,G R EY N D
17568,G R EY N Z
17569,G R EY M Z
17570,G R EY N JH
17571,G R EY P
17572,G R EY P S
17573,G R EY T
17574,G R EY T S
17575,G R EY V
17576,G R EY V Z
17577,G R EY
17578,G R EY Z
17579,G R EY
17580,G R EY Z
17581,G R EY Z
17582,G R EY Z D
17583,G R EY T
17584,G R EY T S
17585,G R EY T S
17586,G R EY N
17587,G R EY NG K
17588,G R EY
17589,G R EY Z
17590,G EY
17591,G W EY
17592,EY CH
17593,EY CH
17594,HH EY D
17595,HH EY JH
17596,HH EY G
17597,HH EY N
17598,HH EY D
17599,HH EY G
17600,HH EY G Z
17601,HH EY
17602,HH EY T
17603,HH EY K
17604,HH EY M
17605,HH EY M Z
17606,HH EY N
17607,HH EY N Z
17608,HH EY N Z
17609,HH EY T
17610,HH EY TH
17611,HH EY K
17612,HH EY K S
17613,HH EY M Z
17614,HH EY N
17615,HH EY N Z
17616,HH EY Z
17617,HH EY S K
17618,HH EY S T
17619,HH EY T
17620,HH EY T S
17621,HH EY
17622,HH EY
17623,HH EY Z
17624,HH EY M Z
17625,HH EY N
17626,HH EY N
17627,HH EY N Z
17628,HH EY Z
17629,HH EY Z
17630,HH EY Z
17631,HH EY
17632,HH EY D
17633,HH EY D
17634,HH EY D T
17635,HH EY N
17636,HH EY N
17637,HH EY Z
17638,HH EY S
17639,HH W EY
17640,JH EY
17641,JH EY Z
17642,JH EY
17643,JH EY Z
17644,ZH EY K
17645,JH EY D
17646,JH EY D Z
17647,JH EY
17648,JH EY Z
17649,JH EY N
17650,JH EY K
17651,JH EY K S
17652,JH EY K S
17653,JH EY M Z
17654,JH EY M Z
17655,JH EY N
17656,JH EY N Z
17657,JH EY N Z
17658,JH EY
17659,JH EY Z
17660,JH EY
17661,JH EY N
17662,JH EY N Z
17663,JH EY Z
17664,K EY
17665,K EY Z
17666,K EY
17667,K EY Z
17668,K EY D
17669,K EY JH
17670,K EY M
17671,K EY N
17672,K EY N
17673,K EY N Z
17674,K EY N
17675,K EY N Z
17676,K EY Z
17677,K EY T
17678,K EY T S
17679,K EY T S
17680,K EY
17681,K EY Z
17682,K EY
17683,K EY Z
17684,K EY N
17685,K EY Z
17686,K EY N Z
17687,K EY
17688,K L EY Z
17689,K L EY
17690,K L EY
17691,N EY B
17692,N EY P
17693,N EY P K
17694,N EY V
17695,N EY V Z
17696,K R EY JH
17697,K R EY N
17698,K R EY N
17699,K R EY
17700,K R EY N
17701,K R EY
17702,L EY B
17703,L EY S
17704,L EY S T
17705,L EY D
17706,L EY JH
17707,L EY B
17708,L EY CH
17709,L EY D
17710,L EY N
17711,L EY N
17712,L EY Z
17713,L EY
17714,L EY K
17715,L EY K S
17716,L EY K S
17717,L EY K S
17718,L EY M
17719,L EY N
17720,L EY N Z
17721,L EY N Z
17722,L EY P
17723,L EY Z
17724,L EY S K
17725,L EY T
17726,L EY DH
17727,L EY DH Z
17728,L EY V
17729,L EY
17730,L EY Z
17731,L EY
17732,L EY N
17733,L EY Z
17734,L EY
17735,L EY T
17736,L EY Z
17737,L EY
17738,L EY
17739,L EY
17740,L EY Z
17741,L EY N Z
17742,L EY N
17743,M EY B
17744,M EY S
17745,M EY D
17746,M EY
17747,M EY Z
17748,M EY Z
17749,M EY D
17750,M EY D Z
17751,M EY D Z
17752,M EY D Z
17753,M EY M
17754,M EY M D
17755,M EY M Z
17756,M EY N
17757,M EY N
17758,M EY N Z
17759,M EY N Z
17760,M EY N Z
17761,M EY N Z
17762,M EY S
17763,M EY Z
17764,M EY K
17765,M EY K S
17766,M EY M
17767,M EY N
17768,M EY N D
17769,M EY N Z
17770,M EY N JH
17771,M EY P S
17772,M EY Z
17773,M EY S K
17774,M EY T
17775,M EY T S
17776,M EY DH
17777,M EY V
17778,M EY V Z
17779,M EY
17780,M EY Z
17781,M EY D
17782,M EY
17783,M EY Z
17784,M EY M
17785,M EY N
17786,M EY N Z
17787,M EY R
17788,M EY Z
17789,M EY Z
17790,M EY Z
17791,M EY Z
17792,M EY
17793,M EY R
17794,M EY
17795,M EY N
17796,N EY S
17797,N EY K
17798,N EY SH
17799,N EY M
17800,N EY M Z
17801,N EY M D
17802,N EY M Z
17803,N EY Z
17804,N EY T
17805,N EY T S
17806,N EY DH
17807,N EY V
17808,N EY
17809,N EY Z
17810,N EY
17811,N EY
17812,N EY
17813,P EY S
17814,P EY S T
17815,P EY JH
17816,P EY JH D
17817,P EY D
17818,P EY JH
17819,P EY N
17820,P EY K
17821,P EY N
17822,P EY N
17823,P EY N D
17824,P EY N Z
17825,P EY N T
17826,P EY N T S
17827,P EY Z
17828,P EY T
17829,P EY Z
17830,P EY K
17831,P EY N
17832,P EY N Z
17833,P EY P
17834,P EY P K
17835,P EY S K
17836,P EY S T
17837,P EY S T S
17838,P EY T
17839,P EY T S
17840,P EY V
17841,P EY V D
17842,P EY V Z
17843,P EY
17844,P EY
17845,P EY N
17846,P EY Z
17847,P EY
17848,P EY Z
17849,F EY JH
17850,F EY Z
17851,F EY Z D
17852,F R EY Z
17853,F R EY Z D
17854,P L EY S
17855,P L EY S T
17856,P L EY G
17857,P L EY G D
17858,P L EY G Z
17859,P L EY N
17860,P L EY N Z
17861,P L EY N Z
17862,P L EY T
17863,P L EY T S
17864,P L EY K
17865,P L EY N
17866,P L EY N Z
17867,P L EY N D
17868,P L EY N Z
17869,P L EY N Z
17870,P L EY T
17871,P L EY T S
17872,P L EY
17873,P L EY Z
17874,P L EY D
17875,P L EY Z
17876,P R EY Z
17877,P R EY Z D
17878,P R EY N JH
17879,P R EY
17880,P R EY D
17881,P R EY Z
17882,P R EY
17883,P R EY D
17884,P R EY Z
17885,K W EY D
17886,K EY
17887,K W EY D
17888,K W EY N
17889,K W EY N T
17890,K W EY K
17891,K W EY K S
17892,K W EY K S
17893,K W EY V
17894,K EY
17895,K EY
17896,K W EY
17897,R EY B
17898,R EY S
17899,R EY S T
17900,R EY
17901,R EY F
17902,R EY JH
17903,R EY JH D
17904,R EY G
17905,R EY CH
17906,R EY D
17907,R EY D Z
17908,R EY F
17909,R EY K S
17910,R EY N
17911,R EY N
17912,R EY N D
17913,R EY N Z
17914,R EY N Z
17915,R EY S
17916,R EY Z
17917,R EY Z D
17918,R EY T
17919,R EY TH
17920,R EY T
17921,R EY K
17922,R EY K T
17923,R EY K S
17924,R EY N Z
17925,R EY N JH
17926,R EY N JH D
17927,R EY P
17928,R EY P T
17929,R EY P S
17930,R EY Z
17931,R EY S K
17932,R EY T
17933,R EY T S
17934,R EY T S
17935,R EY DH
17936,R EY V
17937,R EY V D
17938,R EY V Z
17939,R EY
17940,R EY Z
17941,R EY
17942,R EY D
17943,R EY N
17944,R EY N Z
17945,R EY Z
17946,R EY Z
17947,R EY Z D
17948,R EY
17949,R EY Z
17950,R EY
17951,R EY Z
17952,R EY
17953,R EY N
17954,R EY N D
17955,R EY N Z
17956,R EY N
17957,R EY N
17958,R EY N D
17959,R EY N Z
17960,R EY NG K
17961,R EY N Z
17962,R EY Z
17963,R EY
17964,R EY M
17965,R EY M Z
17966,S EY F
17967,S EY F S
17968,S EY JH
17969,S EY N
17970,S EY N
17971,S EY N T
17972,S EY N T S
17973,S EY N T S
17974,S EY N T S
17975,S EY N Z
17976,S EY Z
17977,S EY Z
17978,S EY K
17979,S EY K S
17980,S EY K S
17981,S EY M
17982,S EY M Z
17983,S EY M Z
17984,S EY N
17985,S EY T
17986,S EY T S
17987,S EY V
17988,S EY V Z
17989,S EY V D
17990,S EY V Z
17991,S EY
17992,S EY
17993,S EY D
17994,S K EY F
17995,S K EY P
17996,S K EY T S
17997,SH EY B Z
17998,SH EY D
17999,SH EY K
18000,SH EY V
18001,SH EY
18002,SH L EY K
18003,SH L EY
18004,SH N EY K
18005,SH R EY D
18006,SH R EY JH
18007,SH W EY K
18008,S K R EY P
18009,S K R EY P T
18010,S K R EY P S
18011,S EY
18012,S EY
18013,S EY N
18014,S EY M
18015,SH EY D
18016,SH EY D Z
18017,SH EY K
18018,SH EY K
18019,SH EY N
18020,SH EY N
18021,SH EY K
18022,SH EY K S
18023,SH EY M
18024,SH EY M D
18025,SH EY M Z
18026,SH EY N
18027,SH EY P
18028,SH EY P T
18029,SH EY P S
18030,SH EY V
18031,SH EY V D
18032,SH EY V Z
18033,SH EY
18034,SH EY N
18035,SH EY Z
18036,SH EY
18037,SH EY Z
18038,SH L EY Z
18039,SH R EY K
18040,S K EY N Z
18041,S K EY Z
18042,S K EY T
18043,S K EY T S
18044,S K EY N
18045,S K EY N Z
18046,S L EY D
18047,S L EY N
18048,S L EY N
18049,S L EY N
18050,S L EY P
18051,S L EY T
18052,S L EY T S
18053,S L EY V
18054,S L EY V Z
18055,S L EY
18056,S L EY
18057,S M EY
18058,S N EY K
18059,S N EY K S
18060,S N EY K S
18061,S N EY P
18062,S N EY
18063,S P EY S
18064,S P EY S T
18065,S P EY D
18066,S P EY D Z
18067,S P EY D
18068,S P EY N
18069,S P EY N Z
18070,S P EY K
18071,S P EY T
18072,S P EY T S
18073,S P EY
18074,S P EY D
18075,S P EY D
18076,S P EY D
18077,S P EY T
18078,S P EY T S
18079,S P EY
18080,S P L EY N
18081,S P L EY N
18082,S P R EY G
18083,S P R EY G Z
18084,S P R EY N
18085,S P R EY N D
18086,S P R EY N Z
18087,S P R EY
18088,S P R EY D
18089,S P R EY Z
18090,S EY N T
18091,S T EY D
18092,S T EY JH
18093,S T EY JH D
18094,S T EY B
18095,S T EY D
18096,S T EY N
18097,S T EY N D
18098,S T EY N Z
18099,S T EY N Z
18100,S T EY K
18101,S T EY K S
18102,S T EY K T
18103,S T EY K S
18104,S T EY T
18105,S T EY T S
18106,S T EY T S
18107,S T EY T S
18108,S T EY V
18109,S T EY V D
18110,S T EY V Z
18111,S T EY
18112,S T EY D
18113,S T EY Z
18114,S T EY K
18115,S T EY K S
18116,S T R EY F
18117,S T R EY T
18118,S T R EY T S
18119,S T R EY N
18120,S T R EY N D
18121,S T R EY N Z
18122,S T R EY T
18123,S T R EY T S
18124,S T R EY N JH
18125,S T R EY T
18126,S T R EY
18127,S T R EY D
18128,S T R EY Z
18129,S T R EY T
18130,S T R EY
18131,S W EY D
18132,S W EY D Z
18133,S W EY M
18134,S W EY N
18135,S W EY N
18136,S W EY P
18137,S W EY P S
18138,S W EY DH
18139,S W EY
18140,S W EY D
18141,S W EY N
18142,S W EY Z
18143,S W EY Z
18144,SH EY
18145,T EY
18146,T EY N T
18147,T EY N T S
18148,T EY T
18149,T EY T
18150,T EY T
18151,T EY K
18152,T EY K S
18153,T EY M
18154,T EY M D
18155,T EY M Z
18156,T EY P
18157,T EY P S
18158,T EY P T
18159,T EY P S
18160,T EY S T
18161,T EY S T S
18162,T EY T
18163,T EY T S
18164,T EY T JH
18165,T EY V Z
18166,T EY
18167,T EY Z
18168,TH EY N
18169,TH EY N
18170,TH EY N
18171,TH EY N
18172,DH EY
18173,DH EY D
18174,DH EY V
18175,T R EY S
18176,T R EY S T
18177,T R EY D
18178,T R EY D Z
18179,T R EY D Z
18180,T R EY N
18181,T R EY N Z
18182,T R EY N D
18183,T R EY N Z
18184,T R EY P S
18185,T R EY T
18186,T R EY T S
18187,T R EY N
18188,T R EY
18189,T R EY Z
18190,T R EY
18191,T R EY
18192,T W EY N
18193,T W EY N Z
18194,V EY G
18195,V EY N
18196,V EY N
18197,V EY N Z
18198,V EY P
18199,V EY R Z
18200,V EY S
18201,V EY S K
18202,V EY N
18203,V EY N Z
18204,V EY
18205,V EY N
18206,V R EY N
18207,W EY S
18208,W EY D
